cser,cpar
1.00E-12,1.00E-12
1.00E-12,1.00E-12
5.00E-12,5.00E-12
1.00E-11,1.00E-11
6.20E-11,6.20E-11
1.80E-11,1.80E-11
3.30E-11,3.30E-11
6.20E-11,6.20E-11
1.00E-10,1.00E-10
2.00E-10,2.00E-10
3.90E-10,3.90E-10
7.50E-10,7.50E-10
